partner_key,partner_name,partner_type,tier,city,county,region_key,status,onboard_date,account_manager,commission_rate,credit_limit
227,Walker Tech Ltd,IT Provider,Bronze,Liverpool,Merseyside,408,Active,2015-04-11,Evelyn Jones,21.9,250000
228,Hill IT Ltd,Referral,Standard,Oxford,Oxfordshire,411,Inactive,2024-07-23,Ava Green,21.5,50000
229,Wright Telecom Ltd,Agent,Standard,London,Greater London,401,Active,2024-04-25,William Wilson,25.0,100000
230,Thomas Networks Ltd,Telecom Reseller,Platinum,Belfast,Northern Ireland,405,Active,2020-06-23,Oscar Davies,11.9,10000
231,Walker Networks Ltd,MSP,Silver,Bristol,Avon,409,Active,2017-05-03,Jessica Green,16.8,250000
232,Thomas IT Ltd,Wholesale,Bronze,Bristol,Avon,405,Active,2020-04-13,Charlotte Wright,14.4,50000
233,Hughes IT Ltd,Referral,Standard,Nottingham,Nottinghamshire,402,Active,2024-09-11,Ella Patel,20.2,10000
234,White Solutions Ltd,Reseller,Bronze,Cardiff,Wales,409,Suspended,2021-05-10,David Edwards,7.1,25000
235,Turner IT Ltd,Telecom Reseller,Silver,Newcastle,Tyne and Wear,411,Active,2020-06-28,Olivia Wilson,22.3,50000
236,Hall Networks Ltd,Telecom Reseller,Standard,Liverpool,Merseyside,406,Active,2018-05-19,Ava Martin,11.3,10000
237,Walker Telecom Ltd,MSP,Bronze,Manchester,Greater Manchester,407,Active,2024-07-23,Daniel Cooper,17.6,25000
238,Harris Networks Ltd,Reseller,Bronze,Liverpool,Merseyside,406,Active,2017-12-25,Alice Green,18.3,10000
239,Turner Networks Ltd,MSP,Silver,Cambridge,Cambridgeshire,410,Active,2020-09-16,Jessica White,18.4,250000
240,White Tech Ltd,Referral,Gold,Leicester,Leicestershire,403,Active,2016-02-03,Harper Davies,23.6,10000
241,Davies Networks Ltd,Referral,Bronze,Oxford,Oxfordshire,402,Active,2022-01-08,Thomas Jackson,23.2,10000
242,Thomas Telecom Ltd,IT Provider,Standard,Edinburgh,Scotland,405,Active,2019-03-03,Daniel Johnson,24.3,50000
243,Johnson Group Ltd,Agent,Standard,Leeds,West Yorkshire,400,Suspended,2017-02-23,Chloe Evans,11.0,50000
244,Hughes Group Ltd,Reseller,Silver,Brighton,East Sussex,404,Inactive,2023-02-09,David Evans,15.4,50000
245,Robinson Networks Ltd,IT Provider,Gold,Cardiff,Wales,400,Active,2021-06-29,Matthew Wilson,21.5,250000
246,Evans Solutions Ltd,MSP,Gold,Oxford,Oxfordshire,405,Active,2015-05-13,James Wilson,17.1,50000
247,Davies Networks Ltd,Wholesale,Standard,Bristol,Avon,404,Active,2018-02-25,Lucas Robinson,15.4,10000
248,Davies Communications Ltd,Agent,Silver,Oxford,Oxfordshire,404,Active,2023-08-02,Charlie Wright,18.5,50000
249,Thomas Networks Ltd,Agent,Silver,Oxford,Oxfordshire,408,Active,2020-02-05,Lily Thomas,20.0,25000
250,Evans Tech Ltd,Referral,Silver,Sheffield,South Yorkshire,403,Active,2016-11-21,Ruby Hill,10.7,50000
251,Hill IT Ltd,Referral,Bronze,Manchester,Greater Manchester,409,Active,2016-02-20,Lily Roberts,6.2,10000
252,Harris Networks Ltd,Wholesale,Bronze,Bristol,Avon,404,Active,2022-05-05,Ruby Roberts,9.4,50000
253,Green Telecom Ltd,MSP,Standard,Southampton,Hampshire,409,Active,2020-07-02,Harper Edwards,6.4,50000
254,Martin Solutions Ltd,Referral,Bronze,Liverpool,Merseyside,408,Inactive,2023-12-02,William Harris,5.2,250000
255,Thomas Telecom Ltd,Agent,Gold,Liverpool,Merseyside,410,Inactive,2020-04-24,Ruby Evans,18.7,10000
256,Cooper Networks Ltd,Reseller,Gold,Reading,Berkshire,403,Active,2016-10-21,Joseph Jackson,9.4,50000
257,Lewis Telecom Ltd,Agent,Platinum,Glasgow,Scotland,409,Active,2018-06-01,Noah Evans,7.1,250000
258,Smith Telecom Ltd,Reseller,Gold,Cambridge,Cambridgeshire,410,Active,2020-09-18,Ruby Wright,11.6,10000
259,Roberts Tech Ltd,Telecom Reseller,Standard,Southampton,Hampshire,401,Active,2015-04-28,Leo Thomas,19.2,10000
260,Smith Group Ltd,Wholesale,Bronze,London,Greater London,404,Active,2022-03-01,Emma Smith,5.6,100000
261,Jackson Group Ltd,Telecom Reseller,Silver,Newcastle,Tyne and Wear,400,Active,2018-02-27,James Walker,11.3,10000
262,White IT Ltd,IT Provider,Silver,Bristol,Avon,410,Active,2016-10-13,Benjamin Patel,11.5,25000
263,Thompson Tech Ltd,IT Provider,Silver,Sheffield,South Yorkshire,409,Active,2019-01-28,Amelia Lewis,20.2,10000
264,Davies Communications Ltd,Referral,Bronze,Reading,Berkshire,407,Active,2015-11-23,Olivia Jones,5.1,100000
265,White Networks Ltd,Agent,Silver,Manchester,Greater Manchester,401,Active,2023-05-17,Jessica Wilson,5.9,10000
266,Hill Communications Ltd,Telecom Reseller,Bronze,Nottingham,Nottinghamshire,402,Active,2016-10-12,Chloe Turner,12.6,10000
267,Smith Communications Ltd,MSP,Standard,Brighton,East Sussex,410,Active,2020-02-25,Mia Evans,20.9,100000
268,Clarke IT Ltd,Telecom Reseller,Bronze,Brighton,East Sussex,404,Active,2015-06-06,Sophie Hall,22.6,10000
269,Johnson IT Ltd,Referral,Platinum,Liverpool,Merseyside,407,Active,2016-09-22,Charlie Brown,5.2,250000
270,Roberts Networks Ltd,IT Provider,Gold,London,Greater London,402,Inactive,2020-02-23,Grace Wright,14.1,10000
271,Martin IT Ltd,MSP,Standard,Newcastle,Tyne and Wear,403,Active,2022-09-10,Chloe White,17.4,50000
272,Wilson Communications Ltd,Wholesale,Bronze,Liverpool,Merseyside,411,Active,2018-03-10,Oscar Jones,20.9,25000
273,Martin Tech Ltd,MSP,Gold,London,Greater London,401,Active,2021-02-25,Amelia Jackson,14.0,25000
274,Wright Communications Ltd,Agent,Bronze,Southampton,Hampshire,401,Active,2020-07-21,Sophia Johnson,22.0,250000
275,Davies Telecom Ltd,IT Provider,Gold,Bristol,Avon,403,Active,2023-05-09,Jack Smith,6.6,100000
276,Martin Tech Ltd,Agent,Silver,Brighton,East Sussex,411,Active,2020-10-03,Ruby Turner,11.3,250000
277,Edwards Telecom Ltd,Telecom Reseller,Bronze,Newcastle,Tyne and Wear,408,Active,2016-06-13,Noah Wilson,11.9,50000
278,Lewis Solutions Ltd,Reseller,Standard,Birmingham,West Midlands,403,Active,2022-07-30,Ava Johnson,20.1,10000
279,Wood Telecom Ltd,IT Provider,Bronze,Coventry,West Midlands,402,Active,2024-06-14,Noah Hall,24.7,10000
280,Evans IT Ltd,MSP,Silver,Manchester,Greater Manchester,405,Active,2024-08-27,Jack Martin,13.9,250000
281,Johnson Group Ltd,Agent,Gold,Cambridge,Cambridgeshire,405,Active,2020-07-02,Oscar Thomas,12.6,10000
282,Jackson Networks Ltd,Telecom Reseller,Standard,Southampton,Hampshire,403,Suspended,2015-03-29,Charlie Wilson,9.7,10000
283,Green IT Ltd,Telecom Reseller,Bronze,Edinburgh,Scotland,400,Active,2017-08-01,Ruby Thompson,17.8,50000
284,Williams Tech Ltd,Wholesale,Platinum,Birmingham,West Midlands,400,Active,2019-02-14,Ava Hughes,18.9,50000
285,Martin Tech Ltd,MSP,Bronze,Leicester,Leicestershire,400,Inactive,2016-07-21,Grace Smith,20.2,100000
286,Roberts IT Ltd,Reseller,Standard,Brighton,East Sussex,404,Active,2024-09-23,Oscar Thompson,22.4,50000
287,White IT Ltd,Telecom Reseller,Standard,Leeds,West Yorkshire,403,Active,2018-03-22,Alice Patel,12.1,25000
288,Williams Telecom Ltd,Telecom Reseller,Gold,Cambridge,Cambridgeshire,403,Active,2015-10-14,Oscar Clarke,14.7,25000
289,Green Telecom Ltd,Wholesale,Platinum,Sheffield,South Yorkshire,404,Suspended,2023-11-02,Evelyn Wood,13.3,100000
290,Brown Solutions Ltd,Wholesale,Gold,Coventry,West Midlands,410,Active,2022-03-10,Matthew Green,10.6,250000
291,Hall IT Ltd,Agent,Silver,Glasgow,Scotland,408,Active,2023-08-01,Isabella Cooper,18.0,250000
292,Cooper Solutions Ltd,IT Provider,Standard,Southampton,Hampshire,400,Active,2016-08-12,Matthew Hughes,11.5,100000
293,Evans Group Ltd,Agent,Platinum,Liverpool,Merseyside,410,Active,2024-10-26,Emily Wilson,6.5,50000
294,Roberts Communications Ltd,Reseller,Gold,Leicester,Leicestershire,403,Active,2015-06-04,Isabella Jones,8.6,250000
295,Green IT Ltd,Reseller,Gold,Reading,Berkshire,408,Active,2023-04-24,Emily Harris,21.9,50000
296,Wood Solutions Ltd,IT Provider,Bronze,Southampton,Hampshire,407,Active,2019-03-05,Sophie White,16.8,250000
297,Wood Telecom Ltd,Reseller,Gold,Bristol,Avon,401,Active,2024-10-07,Isabella Hill,15.3,50000
298,Wright Solutions Ltd,Agent,Bronze,Nottingham,Nottinghamshire,410,Active,2024-08-03,Isabella Davies,17.7,10000
299,Hughes Communications Ltd,Referral,Gold,Oxford,Oxfordshire,405,Active,2020-11-06,Alice Wood,21.4,50000
300,Walker IT Ltd,IT Provider,Bronze,Cardiff,Wales,403,Active,2021-02-21,Grace Taylor,14.7,25000
301,Wilson Networks Ltd,Referral,Silver,Edinburgh,Scotland,407,Active,2023-11-14,Alice Clarke,20.2,50000
302,Jones IT Ltd,IT Provider,Bronze,Cardiff,Wales,407,Active,2016-03-26,Joseph Wood,19.1,100000
303,Smith Communications Ltd,Reseller,Gold,Glasgow,Scotland,405,Active,2020-12-10,Henry Taylor,24.2,100000
304,Martin Networks Ltd,MSP,Silver,Oxford,Oxfordshire,411,Inactive,2015-09-14,Evelyn White,5.6,50000
305,Davies Communications Ltd,Reseller,Gold,Bristol,Avon,411,Active,2017-05-12,William Hall,22.6,250000
306,Martin Group Ltd,Referral,Standard,Belfast,Northern Ireland,405,Active,2024-07-03,Lucas Hall,17.8,50000
307,Lewis Telecom Ltd,IT Provider,Gold,Manchester,Greater Manchester,407,Active,2015-02-09,Grace Smith,16.2,25000
308,Johnson Group Ltd,Reseller,Silver,Belfast,Northern Ireland,403,Active,2018-06-18,James Johnson,5.9,100000
309,Roberts Telecom Ltd,Wholesale,Standard,Reading,Berkshire,410,Active,2015-02-05,Harry Evans,15.4,250000
310,Jackson Networks Ltd,Wholesale,Platinum,Belfast,Northern Ireland,406,Active,2021-11-12,Lucas Davies,7.0,10000
311,Brown IT Ltd,Reseller,Silver,Newcastle,Tyne and Wear,408,Active,2020-03-16,Freya Thomas,21.4,25000
312,Lewis Solutions Ltd,Agent,Silver,Leicester,Leicestershire,409,Active,2024-06-12,William Evans,5.5,100000
313,Wright Communications Ltd,IT Provider,Gold,Newcastle,Tyne and Wear,405,Active,2020-09-27,Oliver Wood,11.8,10000
314,Lewis IT Ltd,Wholesale,Platinum,Newcastle,Tyne and Wear,408,Active,2023-08-09,Isabella Wilson,15.8,25000
315,Taylor Group Ltd,Referral,Bronze,Brighton,East Sussex,403,Active,2017-09-15,Henry Wright,9.4,100000
316,Hall Networks Ltd,Wholesale,Silver,Southampton,Hampshire,410,Active,2019-12-15,Joseph Evans,5.4,25000
317,Hill Communications Ltd,Referral,Bronze,London,Greater London,401,Active,2018-09-18,Benjamin Wilson,22.5,250000
318,Turner Networks Ltd,Reseller,Silver,Reading,Berkshire,407,Active,2015-10-27,Oliver Walker,9.7,25000
319,Williams Tech Ltd,MSP,Bronze,Nottingham,Nottinghamshire,409,Active,2022-10-13,Jessica Evans,16.4,50000
320,Smith Tech Ltd,Reseller,Standard,Newcastle,Tyne and Wear,408,Active,2015-04-13,Alexander Patel,18.6,250000
321,Patel IT Ltd,Referral,Standard,Belfast,Northern Ireland,406,Active,2018-09-29,Jack Patel,6.4,25000
322,Jones Group Ltd,Wholesale,Bronze,Reading,Berkshire,404,Active,2020-07-16,Ava Evans,21.1,250000
323,Lewis IT Ltd,Agent,Gold,Cardiff,Wales,401,Active,2020-07-22,Samuel Wood,13.9,10000
324,Harris Telecom Ltd,Reseller,Bronze,Cambridge,Cambridgeshire,401,Active,2020-08-17,Joseph Hill,16.0,50000
325,Taylor Solutions Ltd,MSP,Standard,Birmingham,West Midlands,403,Active,2024-09-28,Mia Hill,11.6,100000
326,Cooper IT Ltd,IT Provider,Standard,Cambridge,Cambridgeshire,405,Active,2019-07-03,Ruby Johnson,23.1,250000
327,Clarke Communications Ltd,Agent,Bronze,Leicester,Leicestershire,410,Active,2015-03-19,Emma Taylor,22.1,100000
328,Thomas IT Ltd,IT Provider,Standard,Coventry,West Midlands,406,Active,2018-11-03,Freya Evans,18.1,25000
329,Brown IT Ltd,Agent,Silver,Brighton,East Sussex,409,Active,2021-11-01,Oscar Harris,14.9,250000
330,Lewis Tech Ltd,Referral,Standard,Liverpool,Merseyside,401,Active,2022-11-09,Charlotte Thompson,12.4,10000
331,Evans Group Ltd,Reseller,Standard,Cambridge,Cambridgeshire,403,Active,2021-02-06,Joseph Johnson,22.1,50000
332,Smith IT Ltd,Telecom Reseller,Bronze,Newcastle,Tyne and Wear,408,Active,2019-01-08,Sophia Lewis,23.0,25000
333,Davies Communications Ltd,Referral,Bronze,Newcastle,Tyne and Wear,408,Active,2021-12-11,Harry Clarke,18.4,100000
334,Roberts Networks Ltd,IT Provider,Silver,Leeds,West Yorkshire,408,Active,2016-07-01,Benjamin Hall,7.6,25000
335,Johnson Solutions Ltd,Wholesale,Silver,Cambridge,Cambridgeshire,411,Active,2019-10-09,Matthew Wood,9.8,50000
336,Edwards Solutions Ltd,MSP,Bronze,Southampton,Hampshire,411,Inactive,2024-08-29,Sophie Wilson,5.4,10000
337,Walker Tech Ltd,Reseller,Bronze,Leicester,Leicestershire,408,Active,2018-10-18,Chloe Turner,21.1,250000
338,Wright Networks Ltd,Reseller,Standard,Coventry,West Midlands,403,Active,2021-08-05,Samuel Brown,13.1,25000
339,Hill Networks Ltd,Reseller,Bronze,Liverpool,Merseyside,408,Active,2020-07-19,Ava Walker,8.9,100000
340,Smith Telecom Ltd,Referral,Gold,Sheffield,South Yorkshire,401,Active,2020-09-28,Ava Williams,24.3,25000
341,Wood IT Ltd,Reseller,Standard,London,Greater London,405,Active,2018-01-05,Joseph Patel,19.6,50000
342,Hill Group Ltd,Reseller,Silver,Cardiff,Wales,403,Active,2023-04-03,Emily Williams,17.6,10000
343,Smith IT Ltd,Referral,Bronze,Leeds,West Yorkshire,406,Active,2017-02-16,Alice Wilson,11.6,100000
344,Edwards Solutions Ltd,Telecom Reseller,Gold,Liverpool,Merseyside,404,Active,2016-09-24,Oliver Robinson,10.2,50000
345,Jones Group Ltd,Telecom Reseller,Gold,Brighton,East Sussex,409,Active,2023-07-17,Jack Roberts,16.9,25000
346,Martin IT Ltd,Wholesale,Silver,Oxford,Oxfordshire,404,Suspended,2018-05-15,Isabella Robinson,7.2,10000
347,Cooper Communications Ltd,Referral,Silver,Glasgow,Scotland,403,Active,2024-02-03,Ruby Jones,18.6,50000
348,Edwards IT Ltd,Agent,Silver,Nottingham,Nottinghamshire,404,Active,2017-01-12,Isabella Harris,21.9,25000
349,Jones Tech Ltd,Telecom Reseller,Bronze,Bristol,Avon,411,Active,2021-05-04,Evelyn Wright,8.0,100000
350,Taylor Communications Ltd,Wholesale,Silver,Glasgow,Scotland,402,Inactive,2019-03-06,Alice Robinson,19.0,25000
351,Gamma Telecom Ltd,Wholesale,Platinum,Liverpool,Merseyside,406,Active,2025-01-27,Harry Thompson,7.1,100000
352,Apex Tech Ltd,Reseller,Silver,Glasgow,Scotland,405,Active,2025-01-20,Oliver Davis,22.1,250000
353,Delta Systems UK,Reseller,Standard,Bristol,Avon,407,Active,2025-11-20,Harry Thompson,14.6,100000
354,Summit Tech Partners,MSP,Bronze,Leeds,West Yorkshire,404,Active,2025-01-22,George Clark,14.0,100000
355,Apex Networks Group,MSP,Bronze,Manchester,Greater Manchester,403,Active,2025-06-16,Isabella Harris,18.1,250000
356,Summit Systems UK,IT Provider,Standard,Bristol,Avon,407,Active,2025-05-03,Sophie Brown,16.6,25000
357,Nova Cloud Ltd,Referral,Bronze,Manchester,Greater Manchester,403,Active,2025-02-08,Charlotte Evans,16.8,25000
358,Quantum Solutions Ltd,MSP,Standard,Newcastle,Tyne and Wear,410,Active,2025-01-02,Amelia Roberts,23.9,100000
359,Orion Tech Ltd,IT Provider,Bronze,Bristol,Avon,407,Active,2025-12-20,James Taylor,16.7,100000
360,Titan Tech Ltd,Telecom Reseller,Standard,Nottingham,Nottinghamshire,412,Active,2025-10-29,Isabella Harris,17.8,50000
361,Summit IT Ltd,MSP,Silver,Nottingham,Nottinghamshire,412,Active,2025-06-28,William Moore,23.0,250000
362,Nova Tech Group,Reseller,Standard,Leeds,West Yorkshire,404,Active,2025-02-06,Sophie Brown,21.1,50000
363,Quantum IT UK,Telecom Reseller,Standard,Nottingham,Nottinghamshire,412,Active,2025-05-02,Emma Wilson,15.4,50000
364,Nova Tech Group,Referral,Silver,London,Greater London,401,Inactive,2025-02-11,Harry Thompson,13.2,25000
365,Eclipse Systems Partners,Telecom Reseller,Standard,London,Greater London,401,Active,2025-09-24,Oliver Davis,13.9,50000
366,Delta Cloud Partners,MSP,Standard,Nottingham,Nottinghamshire,412,Active,2025-04-16,George Clark,9.6,250000
367,Phoenix Cloud Ltd,IT Provider,Standard,Birmingham,West Midlands,402,Active,2025-10-05,William Moore,7.8,250000
368,Nova Cloud Partners,Reseller,Gold,Birmingham,West Midlands,402,Active,2025-02-10,William Moore,8.4,50000
369,Summit Tech Group,MSP,Standard,Birmingham,West Midlands,402,Active,2025-05-13,William Moore,6.1,25000
370,Stellar Telecom Group,MSP,Platinum,Sheffield,South Yorkshire,408,Active,2025-11-17,Sophie Brown,10.3,10000
371,Atlas Digital Ltd,MSP,Gold,Manchester,Greater Manchester,403,Active,2025-12-26,Sophie Brown,17.0,250000
372,Delta Telecom Ltd,MSP,Bronze,Birmingham,West Midlands,402,Active,2025-01-22,Amelia Roberts,20.7,25000
373,Alpha Digital UK,IT Provider,Bronze,Edinburgh,Scotland,409,Inactive,2025-04-20,Sophie Brown,6.3,10000
374,Apex Cloud UK,Reseller,Bronze,Leeds,West Yorkshire,404,Active,2025-08-11,George Clark,8.7,25000
375,Nexus IT Partners,Referral,Silver,Leeds,West Yorkshire,404,Active,2025-10-16,George Clark,5.0,25000
376,Nexus Solutions Partners,Reseller,Bronze,Glasgow,Scotland,405,Inactive,2025-01-20,James Taylor,12.8,10000
377,Atlas Telecom Partners,MSP,Silver,Manchester,Greater Manchester,403,Active,2025-03-17,Emma Wilson,23.0,10000
378,Phoenix Systems Ltd,Agent,Gold,Bristol,Avon,407,Active,2025-03-05,George Clark,19.9,100000
379,Beta Solutions Ltd,IT Provider,Silver,Cardiff,Wales,411,Active,2025-09-16,James Taylor,6.8,10000
380,Stellar Tech Ltd,Wholesale,Bronze,Birmingham,West Midlands,402,Active,2025-11-16,Harry Thompson,24.3,25000
381,Quantum Digital UK,Reseller,Silver,Edinburgh,Scotland,409,Active,2025-09-01,James Taylor,12.5,50000
382,Delta Communications Ltd,IT Provider,Silver,Birmingham,West Midlands,402,Active,2025-04-04,Charlotte Evans,6.9,100000
383,Nova Solutions Ltd,Agent,Bronze,Birmingham,West Midlands,402,Inactive,2025-11-05,Emma Wilson,11.8,25000
384,Alpha Communications Partners,Referral,Platinum,Birmingham,West Midlands,402,Active,2025-07-06,George Clark,13.5,10000
385,Quantum IT UK,Wholesale,Standard,Newcastle,Tyne and Wear,410,Active,2025-07-19,Oliver Davis,24.9,25000
386,Summit Cloud Ltd,MSP,Standard,Birmingham,West Midlands,402,Active,2025-07-18,James Taylor,21.8,50000
387,Stellar Tech Ltd,MSP,Silver,Edinburgh,Scotland,409,Active,2025-10-10,Amelia Roberts,6.6,100000
388,Summit Cloud UK,MSP,Standard,London,Greater London,401,Active,2025-11-27,George Clark,13.2,50000
389,Vertex Tech Partners,IT Provider,Bronze,Birmingham,West Midlands,402,Active,2025-04-28,James Taylor,13.0,25000
390,Beta Networks Partners,Wholesale,Bronze,Liverpool,Merseyside,406,Active,2025-02-27,Charlotte Evans,16.3,25000
391,Orion Systems Partners,Referral,Platinum,Leeds,West Yorkshire,404,Active,2025-06-23,Oliver Davis,7.5,10000
392,Eclipse Tech Ltd,IT Provider,Bronze,Edinburgh,Scotland,409,Active,2025-10-06,Amelia Roberts,17.5,10000
393,Horizon Connect Group,Telecom Reseller,Standard,Bristol,Avon,407,Active,2025-05-07,Emma Wilson,5.4,250000
394,Alpha Networks Group,Reseller,Gold,Glasgow,Scotland,405,Active,2025-06-28,Isabella Harris,6.7,25000
395,Nova IT Partners,Telecom Reseller,Platinum,Newcastle,Tyne and Wear,410,Active,2025-07-28,Harry Thompson,9.4,10000
396,Alpha Systems Ltd,Wholesale,Standard,Birmingham,West Midlands,402,Active,2025-10-29,Harry Thompson,15.7,25000
397,Eclipse Systems Partners,IT Provider,Silver,Cardiff,Wales,411,Active,2025-11-19,Isabella Harris,7.2,25000
398,Delta Networks Ltd,Wholesale,Bronze,Edinburgh,Scotland,409,Active,2026-02-14,Oliver Davis,7.4,25000
399,Horizon Connect UK,Telecom Reseller,Standard,Bristol,Avon,407,Active,2026-02-21,Isabella Harris,10.4,250000
400,Alpha Telecom Partners,Agent,Gold,Nottingham,Nottinghamshire,412,Active,2026-02-21,Emma Wilson,20.7,10000
401,Eclipse Telecom Ltd,Agent,Standard,London,Greater London,401,Active,2026-02-20,Emma Wilson,9.2,50000
402,Nexus Networks Ltd,Wholesale,Standard,Nottingham,Nottinghamshire,412,Active,2026-02-21,Oliver Davis,22.0,50000
403,Beta Networks Partners,Referral,Gold,Edinburgh,Scotland,409,Active,2026-02-10,James Taylor,14.2,100000
404,Orion Digital Group,Telecom Reseller,Gold,London,Greater London,401,Active,2026-01-06,Emma Wilson,15.5,250000
405,Alpha Tech Partners,MSP,Platinum,London,Greater London,401,Active,2026-02-09,George Clark,12.3,250000
406,Horizon Connect UK,MSP,Bronze,Edinburgh,Scotland,409,Active,2026-02-24,Emma Wilson,18.4,250000
407,Atlas Communications Ltd,MSP,Standard,Bristol,Avon,407,Active,2026-01-01,George Clark,21.0,100000
408,Phoenix IT Group,Agent,Bronze,Birmingham,West Midlands,402,Active,2026-01-03,George Clark,15.5,50000
409,Nova Digital Ltd,Referral,Standard,Glasgow,Scotland,405,Active,2026-02-16,James Taylor,18.3,25000
410,Zenith Solutions Partners,MSP,Standard,Liverpool,Merseyside,406,Active,2026-01-28,William Moore,22.1,100000
411,Vertex Cloud Partners,MSP,Bronze,Edinburgh,Scotland,409,Active,2026-01-24,Isabella Harris,5.2,50000
412,Prime Telecom UK,IT Provider,Bronze,Birmingham,West Midlands,402,Active,2026-02-17,William Moore,9.6,50000
413,Beta Tech Group,IT Provider,Bronze,Bristol,Avon,407,Active,2026-01-26,George Clark,8.6,50000
414,Vertex Solutions Ltd,MSP,Standard,Glasgow,Scotland,405,Active,2026-01-11,Harry Thompson,21.6,10000
415,Vertex IT UK,Referral,Platinum,Newcastle,Tyne and Wear,410,Active,2026-02-28,George Clark,21.0,100000
416,Titan Connect Ltd,Telecom Reseller,Standard,Nottingham,Nottinghamshire,412,Active,2026-01-13,Amelia Roberts,14.1,250000
417,Beta Digital Ltd,Referral,Bronze,Leeds,West Yorkshire,404,Active,2026-02-22,Sophie Brown,5.5,100000
418,Phoenix Systems Ltd,Reseller,Bronze,Newcastle,Tyne and Wear,410,Active,2026-01-30,Isabella Harris,18.1,25000
419,Gamma Solutions Partners,Referral,Gold,Edinburgh,Scotland,409,Active,2026-01-26,Amelia Roberts,19.1,10000
420,Quantum Systems UK,Telecom Reseller,Silver,Glasgow,Scotland,405,Active,2026-02-09,Amelia Roberts,9.3,10000
421,Nova Cloud UK,Wholesale,Standard,Edinburgh,Scotland,409,Active,2026-02-08,Oliver Davis,19.0,100000
422,Eclipse Communications UK,Wholesale,Bronze,Glasgow,Scotland,405,Active,2026-01-10,Emma Wilson,24.7,250000
423,Summit Cloud Ltd,IT Provider,Bronze,Birmingham,West Midlands,402,Active,2026-01-05,George Clark,13.5,100000
424,Delta Systems Partners,Telecom Reseller,Silver,Manchester,Greater Manchester,403,Active,2026-01-20,Harry Thompson,22.1,50000
425,Prime Digital Ltd,Agent,Silver,Sheffield,South Yorkshire,408,Active,2026-01-27,Oliver Davis,8.2,50000
426,Phoenix Telecom Ltd,Reseller,Standard,Nottingham,Nottinghamshire,412,Active,2026-01-24,Oliver Davis,9.8,100000
427,Stellar IT Group,Reseller,Standard,Newcastle,Tyne and Wear,410,Active,2026-01-14,Harry Thompson,6.8,10000
428,Alpha Solutions Ltd,IT Provider,Silver,Glasgow,Scotland,405,Active,2026-01-26,George Clark,9.7,50000
429,Vertex Digital Partners,Wholesale,Standard,Manchester,Greater Manchester,403,Active,2026-02-05,Amelia Roberts,8.3,50000
430,Summit IT Group,Wholesale,Platinum,Newcastle,Tyne and Wear,410,Active,2026-01-08,James Taylor,19.0,25000
431,Prime Digital Ltd,Reseller,Platinum,Birmingham,West Midlands,402,Active,2026-01-25,Harry Thompson,10.2,10000
432,Beta IT Ltd,Referral,Platinum,Edinburgh,Scotland,409,Active,2026-01-01,Sophie Brown,16.0,25000
433,Phoenix IT Partners,Agent,Platinum,Leeds,West Yorkshire,404,Active,2026-01-04,Amelia Roberts,16.5,100000
434,Apex Tech Ltd,MSP,Standard,Glasgow,Scotland,405,Active,2026-02-13,Sophie Brown,13.2,250000
435,Stellar Digital Group,Telecom Reseller,Bronze,Liverpool,Merseyside,406,Active,2026-02-28,Emma Wilson,11.9,250000
436,Eclipse Tech Group,IT Provider,Gold,Edinburgh,Scotland,409,Active,2026-02-18,Isabella Harris,19.6,10000
